Label,Id
diseño,4053
importance: high,4054
c:cli/doc,4055
focus - extensions,4056
platform: desktop,470
needs-flask0.11,471
needs-flask0.10,472
multipleissues,473
component: shiftr,4057
type/breaking-change,4253
topic-query,474
client/backend/agent,4058
vendor:arduino,475
operating system : windows,476
component: hassio,4060
firmware-softcpu,4061
status:confirmed,4062
2 - on deck,6323
account recovery go live,477
status: needs decision,478
check python 3,479
mygpo,4063
component:ami,480
status: fix-submitted,481
stat:awaiting tensorflower,482
api: compute,5994
forwarded-upstream,483
exp/intermediate,4522
platform: telegram_bot.telegram_webhooks,4064
component: configuration,484
user's request,4065
component: device_tracker,485
s1:dev,486
needs resubmit,487
t-task,4067
integrals.risch,4068
frappe-support,488
topic: reporting,4069
v1.20,554
component: input_slider,4833
druid,4896
sprint-idea,2490
i - oaconnect,6872
platform: cover.garadget,5443
state: wontfix,4070
skill: python,4071
rhel7-branch,6034
task execution,4072
pure python mode,490
g2p,491
platform: binary_sensor.mystrom,4074
vectors,492
nvda gui,4075
component: calendar,493
pull request is welcome,494
cosmosim,4076
platform: image_processing.seven_segments,4077
can'tfix,4078
webapps,2492
unusual-merge-dealt-with,496
difficulty-easy,4080
comp-discrete,4081
c-installer,4082
c-unpackers/docker,498
exchange's fault?,4084
python 3.5,499
python 3.6,500
vmaccess,501
status: waiting for author,4086
onion-services,502
radiance,4087
log parsing,503
lvl:minor,4089
feature idea,4090
feature suggestion,504
language / japanese,505
bug high,506
area: hotkeys,507
tool: polystrips,4207
needscodefixes,6616
area/logs,2496
good to land (with minor changes),4092
thermal treatment,4093
bugfix - [done] back-ported,4094
you take it,4095
data-model-centric,509
hosted service,3121
need-contributor,5255
needs-changelog,511
unconfirmed,6618
review?,4096
siegelmf,4097
ready to start,512
log/console output,513
has test case,514
python 3.x,515
component: api,4098
component-luxi,516
openlibrary metadata standard (olms),517
type-test,4100
kind/bug,4101
priority: major,518
component: pyart.graph,519
autodoc,4103
work_in_progress,5446
infrastructure and config,520
c-vtk,521
parameterize,522
slicingengine,4909
try_scheduler,523
status-new,4105
needs: design,524
format/v3,4106
format/v2,4107
stat:needs-decision,525
printing,526
waiting_for_validation,527
severity:3-moderate,6738
use-case,528
decimalfield,529
new function proposal,5449
c-subworkflows,530
mergable,4108
project: style refresh,531
type:installation,532
lowlevelnetworking,533
bug: medium,534
platform: notify.rest,4110
objectclassification,5450
plugin: tifffile,4111
x: aslbrescia,3261
component-ui,535
kind - bug,536
mne sprint,6621
priority low,537
component: tellduslive,4114
plugin issue,4115
i - support,538
keepkey,539
maintaining-access,4116
raspberry pi,540
fps,541
4review,4117
pebkac,542
has unit test,543
bug_cant_reproduce,4119
api-framework,4120
broken csp,544
ui code (js/css),4121
tag:encoding-error,545
gci-task,546
by-core-dev,547
protobuf,548
platform: switch.flux,549
status: completed,550
bc-break,6726
platform: light.wemo,4123
serviceworker,4124
open-roadmap,4125
needs validation,3320
watchlist,1298
skill: design,6758
component-storage,3727
area: macos,552
not funded,5452
pandas-integration,553
documentation-needed,2503
.io.zmap,555
area/aspects,4129
pending-user-input,556
facile,4130
p2: urgent,557
exp/advanced,558
app-merge,5453
no programming required,559
status: works for me,560
jira: done,4132
sandbox,561
contributor friendly ♥,2504
need a patch,4602
tech story,563
domain: test,564
topic: python,565
zbackport 2.5.2,4134
non-coding,566
c:plugins/connection/ssh,567
feedback-required,4135
feature-change,568
activity:current,569
zbackport 2.5.3,4136
ttk,570
exp/beginner,571
ci / testing,4139
apidoc,4140
feature overview,1799
platform: media_player.yamaha_musiccast,3424
waiting-for-updated-pr,3433
log in with,573
<15mins,5585
kitchen count,4144
easyhack,574
api clean up,4145
payment methods,575
platform: sensor.pilight,576
caa signed,577
type/feature,4146
component: asterisk_mbox,578
could-not-reproduce :-),4147
executors,579
windows specific,4148
genus2,4149
chromatic,580
sphinx extension,581
depends-on-tropo,582
gh-pages,583
old bug - might be invalid now,584
status/opaque-fix,585
waiting on doc,4152
need-feedback,4153
runners,586
task: style guide,4154
boundaryconditions,587
limited to: ide,4155
great for new contributors,4156
platform: media_player.emby,588
ccw - in progress,6052
tag:ui,4158
upstream-rfc,589
win32,590
x11,4160
suggested for volunteers,4161
when: maybe later,4846
platform-bsd,4162
platform: climate.maxcube,591
linux-only,592
state: invalid,593
invalid-report,4163
configuration-issue,4164
upstream fix required,594
pynipap,595
abstraction,596
pri:feature,597
dco/no,4166
target-android-old,598
platform: camera.blink,599
hotdeployment,600
effort-medium,601
a-pending-review,4170
elastic-doc-manager,4171
component: curaengine,602
component: logging,603
timedelta,3711
api bug,604
area/newsettings,3620
waiting for contributor,606
jottalib,607
stage-review-fix,608
need more information,4174
type:defect,4175
maybe fixed,609
olefile,610
✖ bug,6511
auto - bit rotted,6354
nomerge,4176
patch: config change,611
git-development,4177
monster,4178
spec-blocker,4179
c: release scripts,612
presets,613
telecon agenda & minutes,4180
area: refactoring,4181
bug:minor,4182
platform: docker,614
c: hashindex,615
bootloader,616
drasan,1374
☛ needs more info,4184
client libs,6056
os windows,4185
component: volume manager,6250
browser: ie,617
initiatives/gci,3704
insufficient details,5286
platform: media_player.plex,4186
minor: added config check,619
cla not signed,4187
routes,620
1.2 release,621
subject:opf,622
p3: next sprint,4189
needs-consensus,623
component/security,4275
to be discussed,4190
process/pending review,625
ack (ready for merge),4192
major enhancement,626
official clients,627
documentation: feeds,4193
needs backport to 1.0.x,4194
packaging/debian,4195
sincedb,4196
xep-implementation,628
cm-11.0,632
priority: 1. high,629
solr-doc-manager,630
not urgent,3769
c-parameter exploration,4198
dev/tooling,4855
s3mimetype,4199
os - windows,5469
platform: media_player.mpd,633
package intermediate,4200
operating system : os x,634
core.arm_wells,635
e:linux,636
requested-by-users,4416
pull: needs review,3796
blocket o_o,638
pending contributor,6989
u: recipient,639
opsys-openbsd,4202
platform: sensor.cert_expiry,4203
component: amcrest,640
platform: sensor.dte_energy_bridge,5093
release-management,6061
atc_thrift,6547
difficulty/very-high,4205
awaiting user feedback,641
proxy mode,642
request to close,1688
good-first-bug,6063
component: toon,6636
for paulus,643
fallout4,7001
sympy live,644
component: reviewer tools,645
needs-lint,646
platform:win64,3849
c:utils/listify,648
up for grabs,4557
ignored issue template,3240
service monitoring component,3863
release-forthcoming,650
os: packaging,4210
#configuration,2351
platform-osx,651
kind/epic,3879
zsh,4212
a-scenarios,4213
need-help,652
module enhancement,653
platform: sensor.currencylayer,3120
c: backend,654
area/reports,655
bug-warning,4215
plasma parameters,656
lower layer issue,4279
component: languages,657
cannotfix,4217
cat: performance,4218
mechanize,4219
affects contrib (only),658
nice-to-have,3920
area/infra,660
classflags,661
