Source,Target,Weight
102,2553,1
102,1453,2
102,3652,1
102,7955,2
102,3654,22
102,3108,2
102,2014,3
102,3112,22
102,7991,85
102,4401,76
102,2372,1
102,4588,3
102,7996,41
102,6122,1
102,7485,34
102,4205,1
102,4206,3
102,1463,10
102,5260,2
102,3664,2
102,7999,1
102,8581,1
102,4209,2
102,6357,25
102,3668,3
102,2029,1
102,377,2
102,4735,15
102,3678,34
102,6598,3
102,6366,22
102,2582,9
102,3135,17
102,6922,2
102,6923,9
102,4220,5
102,3136,2
102,3138,1
102,7466,1
102,2587,4
102,1479,4
102,8012,2
102,5278,3
102,3144,10
102,5821,1
102,3689,1
102,3179,10
102,389,1
102,4747,4
102,3477,3
102,3496,38
102,5288,1
102,396,2
102,4586,32
102,2598,1
102,5832,3
102,945,5
102,2355,30
102,6385,3
102,4358,8
102,2604,1
102,950,5
102,7481,1
102,8032,80
102,6319,2
102,3704,1
102,6391,1
102,5301,2
102,8621,5
102,3710,3
102,2488,2
102,4764,1
102,8625,6
102,7495,2
102,4765,3
102,2438,1
102,6339,2
102,4250,1
102,5848,1
102,407,5
102,959,1
102,8045,2
102,3730,32
102,960,2
102,4769,1
102,347,4
102,8635,1
102,6519,2
102,3716,3
102,5311,1
102,5792,5
102,8637,3
102,2095,1
102,5689,4
102,6415,23
102,5325,18
102,6417,32
102,3177,1
102,5861,1
102,966,4
102,5863,11
102,8058,10
102,4781,4
102,4782,3
102,2606,1
102,7512,1
102,3709,4
102,8647,2
102,8648,2
102,7514,39
102,8052,7
102,8650,3
102,4786,11
102,4787,1
102,3185,2
102,2097,1
102,7518,5
102,3186,1
102,8652,3
102,5331,3
102,981,1
102,4273,4
102,5477,2
102,3190,4
102,2641,21
102,4274,9
102,5334,1
102,1533,1
102,8071,2
102,6434,2
102,1536,3
102,2650,3
102,7526,5
102,3741,2
102,4796,1
102,8661,2
102,4853,1
102,5343,8
102,8066,1
102,6441,9
102,2442,1
102,6193,1
102,4801,2
102,996,4
102,5880,2
102,2658,3
102,3201,1
102,5349,18
102,6988,1
102,6990,1
102,5427,1
102,4298,8
102,6991,3
102,8671,1
102,6993,346
102,452,2
102,4806,14
102,3699,29
102,6027,2
102,2666,3
102,3756,3
102,7001,5
102,5831,2
102,8096,1
102,8682,1
102,5899,1
102,7009,1
102,5887,5
102,2123,1
102,3767,2
102,463,5
102,8101,4
102,8321,1
102,1022,5
102,1023,2
102,3976,6
102,5374,1
102,3925,1
102,4318,1
102,6567,1
102,6153,49
102,7553,20
102,3228,1
102,1574,1
102,1576,1
102,3926,1
102,6426,12
102,474,34
102,8115,102
102,7028,4
102,3558,6
102,3234,13
102,5386,4
102,4834,1
102,5391,3
102,3243,1
102,5917,3
102,3790,3
102,483,1
102,266,3
102,1045,2
102,2904,14
102,4837,3
102,3237,1
102,8483,1
102,1588,2
102,240,13
102,6497,921
102,3250,1
102,8714,1
102,2651,3
102,7041,2
102,1592,4
102,3792,2
102,8134,1
102,1594,1
102,7574,1
102,817,1
102,1053,3
102,4846,3
102,1599,89
102,1600,1
102,8137,1
102,1601,1
102,1056,1
102,4012,11
102,499,1
102,8729,4
102,5147,1
102,6791,1
102,6510,8
102,3261,2
102,503,3
102,5953,3
102,2717,1
102,3142,4
102,362,1
102,5955,1
102,942,1
102,8149,1
102,4860,5
102,515,4
102,3465,1
102,8741,58
102,3271,16
102,2721,12
102,7593,1
102,3931,1
102,5418,36
102,3820,6
102,2722,2
102,2723,41
102,8168,4
102,5964,45
102,7067,1
102,1627,1
102,2200,46
102,5429,7
102,2187,2
102,4371,6
102,6527,1
102,4870,14
102,7261,1
102,3282,22
102,2992,3
102,1059,1
102,2198,2
102,4384,1
102,536,1
103,5470,5
103,7043,1
103,1797,1
103,2844,3
103,3421,1
103,102,5
103,6497,3
103,3201,1
103,2932,1
103,6417,1
103,3920,3
103,3678,2
103,5125,1
103,2243,1
104,1514,1
104,6357,7
104,6914,18
104,3605,1
104,1282,8
104,201,10
104,8613,1
104,4664,18
104,2617,8
104,7775,1
104,4961,1
104,6194,1
106,1644,2
106,3839,2
106,3293,1
106,8181,2
106,6543,1
106,2205,1
106,1271,1
106,4391,1
106,7087,1
106,1273,5
106,7619,8
106,8668,1
106,2211,9
106,4395,1
106,2215,4
106,88,2
106,4475,9
106,1657,1
106,8194,6
106,7991,11
106,3309,1
106,559,1
106,1103,3
106,7642,6
106,5994,1
106,1105,2
106,6561,1
106,2226,17
106,2229,1
106,5884,3
106,6568,26
106,4908,1
106,5465,2
106,3632,14
106,566,1
106,2460,3
106,6570,1
106,5466,6
106,7655,1
106,7119,2
106,4422,4
106,7120,1
106,2419,1
106,7662,10
106,3331,929
106,30,1
106,4425,1
106,5475,1
106,2246,42
106,1679,4
106,5476,5
106,7842,2
106,4429,1
106,1126,2
106,5889,16
106,585,1
106,7131,6
106,2253,2
106,1683,4
106,546,1
106,633,1
106,317,6
106,2260,1
106,5482,1
106,3562,2
106,5485,5
106,2533,13
106,7140,1
106,3357,2
106,7684,1
106,1144,1
106,6597,1
106,6039,3
106,4938,12
106,3362,11
106,4940,8
106,62,2
106,5843,1
106,5506,3
106,7693,1
106,3305,1
106,6609,2
106,7696,8
106,2803,1
106,8261,35
106,3920,4
106,5512,14
106,6614,3
106,609,1
106,611,1
106,1166,2
106,6053,1
106,8266,1
106,612,9
106,7163,2
106,8267,2
106,4023,11
106,79,2
106,1580,40
106,7003,1
106,4454,1
106,8271,37
106,2813,3
106,7171,17
106,1554,3
106,7711,2
106,3932,1
106,4964,8
106,5527,30
106,4966,1
106,4894,17
106,627,1
106,1181,3
106,7183,4
106,2831,38
106,634,1
106,4398,2
106,93,1
106,8253,20
106,6082,2
106,4973,18
106,1752,23
106,7726,3
106,641,3
106,1100,1
106,5547,25
106,8302,1
106,1195,2
106,3952,40
106,2852,1
106,4979,1
106,7610,1
106,2844,14
106,5243,5
106,102,104
106,6366,9
106,438,2
106,1136,15
106,7741,9
106,4990,6
106,7745,3
106,2854,1
106,4994,1
106,4655,14
106,6673,5
106,117,1
106,664,2
106,665,2
106,667,2
106,8426,1
106,2335,1
106,3421,82
106,6679,6
106,1165,3
106,3485,1
106,8330,4
106,3426,2
106,7218,2
106,6687,3
106,7221,10
106,7227,4
106,6126,2
106,6107,1
106,6693,1
106,2875,1
106,1615,8
106,7232,1
106,7233,50
106,7234,1
106,4196,1
106,7235,5
106,1796,1
106,922,1
106,7237,2
106,1797,2
106,1798,14
106,8350,2
106,143,198
106,3447,5
106,3449,1
106,6711,8
106,707,1
106,4544,1
106,5906,2
106,3997,1
106,6708,1
106,6452,27
106,6155,3
106,6152,1
106,3460,2
106,2899,1
106,5605,1
106,4549,2
106,2138,3
106,5608,3
106,5609,6
106,718,1
106,6958,3
106,8372,6
106,8374,1
106,1830,1
106,5616,20
106,2182,1
106,5619,1
106,2914,7
106,2915,8
106,733,3
106,113,18
106,2917,15
106,1274,2
106,6725,1
106,7271,6
106,4019,1
106,1573,1
106,186,2
106,5066,26
106,2932,1
106,3488,21
106,5627,1
106,1285,5
106,5070,2
106,8494,4
106,1578,3
106,7279,1
106,196,3
106,2399,1
106,4505,3
106,8401,3
106,7756,2
106,1291,1
106,3503,1
106,3506,1
106,5083,1
106,5650,3
106,4556,1
106,1856,1
106,5088,1
106,2410,4
106,4044,1
106,8410,2
106,6745,3
106,8415,2
106,209,1
106,7302,4
106,772,1
106,8421,2
106,4672,14
106,2973,4
106,2435,1
106,2242,2
106,5833,2
106,6763,14
106,8434,4
106,8435,5
106,224,2
106,6221,2
106,1385,3
106,1396,3
106,229,2
106,1319,9
106,334,1
106,3618,20
106,3538,3
106,7322,2
106,6049,1
106,2425,1
106,6771,1
106,1323,13
106,5114,3
106,5798,1
106,7854,2
106,3243,1
106,3544,1
106,6237,2
106,392,1
106,3545,4
106,7859,1
106,6241,4
106,4325,7
106,5689,3
106,1891,1
106,5125,14
106,5127,8
106,1894,5
106,7343,26
106,851,1
106,5133,7
106,6779,1
106,6994,4
106,6578,5
106,5138,1
106,5694,3
106,4086,3
106,3558,8
106,5965,6
106,3004,1
106,2064,4
106,5930,2
106,7873,19
106,6951,28
106,7351,1
106,4633,2
106,2451,1
106,7352,1
106,5426,2
106,3565,1
106,273,1
106,4637,1
106,8429,9
106,279,2
106,8486,1
106,4108,1
106,8236,2
106,4110,2
106,5711,1
106,8492,2
106,5713,2
106,286,1
106,1721,2
106,5718,1
106,5168,3
106,4116,14
106,7365,4
106,3578,1
106,4118,2
106,5721,1
106,6044,2
106,1933,2
106,2848,15
106,2479,21
106,2481,2
106,1769,7
106,7372,10
106,7374,1
106,7377,2
106,7906,14
106,6821,3
106,2877,2
106,5175,20
106,1382,1
106,7382,1
106,3593,9
106,1952,3
106,1388,10
106,7914,1
106,5180,1
106,4665,1
106,4668,1
106,6291,5
106,8515,7
106,7923,1
106,6834,1
106,3761,3
106,6486,1
106,3053,1
106,5190,1
106,6672,3
106,3057,2
106,8529,2
106,7936,1
106,1411,4
106,8532,3
106,5750,1
106,3063,2
106,8533,2
106,7943,1
106,324,4
106,2707,5
106,7944,2
106,5204,6
106,2220,1
106,2883,2
106,8137,1
106,2516,22
106,5210,1
106,337,1
106,6343,5
106,3076,2
106,6319,14
106,7419,2
106,1984,4
106,6321,1
